_	_	_	_	dat	dat	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#de%7Cdat_%C4%93%C4%93n
_	_	_	_	dat	dat	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#dit%7Cdat_%28hier%7Ce%29
_	_	_	_	dat	dat	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#dit_un_dat
_	_	_	_	dat	dat	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#no_dat_
_	_	_	_	dat	dat	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#um_dat_%C4%96nn_vun
_	_	_	_	dat	dat	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#wat_%E2%80%A6_is%2C_d%C4%93%7Cdat_%E2%80%A6
_	_	_	_	dat	datt	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%C4%93hr_datt
_	_	_	_	dat	datt	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#bet_datt
_	_	_	_	dat	datt	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#datt
_	_	_	_	dat	datt	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#nu_datt
_	_	_	_	dat	datt	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#ohn_datt
_	_	_	_	dat	datt	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#siet_datt
_	_	_	_	dat	datt	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#wiel_datt
grot 	https://www.niederdeutsche-literatur.de/dwn/dwn_frw_he.php?W_ID=43	grot	_	grot	Groot	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#Groot
_	_	_	_	grot	Grōōt	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#Gr%C5%8D%C5%8Dt
